category,title,excerpt,date,link,author,content,image
news,"Tinubu appoints new RECs for Lagos, Rivers,  seven others","President Bola Tinubu on Wednesday appointed nine new Resident Electoral Commissioners for the Independent National Electoral Commission for a term of five years each, subject to the confirmation by t...","<span class=""post-date"">25th October 2023</span>",https://punchng.com/tinubu-appoints-new-recs-for-lagos-rivers-seven-others/,  Stephen Angbulu,"President Bola Tinubu on Wednesday appointed nine new Resident Electoral Commissioners for the Independent National Electoral Commission for a term of five years each, subject to the confirmation by the Senate. ⁣  Related News   S’Court rules on Atiku, Obi’s appeals against Tinubu Thursday  JUST IN: Tinubu names Mustapha CEO, Energy Commission of Nigeria  Ondo ex-militants beg Tinubu to review pipelines monitoring contract   
The Special Adviser to the President on Media and Publicity, Ajuri Ngelale, disclosed this in a statement titled ‘President Tinubu appoints nine INEC resident electoral commissioners.’⁣
⁣
They include Mr. Isah Ehimeakne (Edo State), Mr. Bamidele Agbede (Ekiti State), Mr. Jani Bello (Gombe State), Dr. Taiye Ilayasu (Kwara State), Dr. Bunmi Omoseyindemi (Lagos State).⁣
⁣
Others are Yahaya Bello (Nasarawa State), Prof. Mohammed Yalwa (Niger State), Dr. Anugbum Onuoha (Rivers State) and Abubakar Dambo (Zamfara State). ⁣
⁣
Wednesday’s appointments are by the powers vested in the Office of the President “by Section 154 (1) of the Constitution of the Federal Republic of Nigeria (1999, Amended) and Section 6 of the Electoral Act (2022),” Ngelale noted. ⁣
⁣
Tinubu said he expects the new appointees to “abide by the highest standards of professional and ethical conduct in the discharge of their duties, in accordance with his determination to facilitate the establishment of a new and sustainable standard of transparent, fair and conflict-free electoral conduct in Nigeria.” ⁣",https://cdn.punchng.com/wp-content/uploads/2023/10/11183908/Tinubu-signs.jpeg
news,"Police recruitment: Kaduna, Adamawa lead as Anambra, Ebonyi trail",Kaduna State is currently leading in the number of applications received as of day 9 in the ongoing recruitment exercise for the General Duty Constables in the Nigeria Police Force. The PUNCH can conf...,"<span class=""post-date"">25th October 2023</span>",https://punchng.com/police-recruitment-kaduna-adamawa-lead-as-anambra-ebonyi-trail/,  Abiodun Sanusi,"Kaduna State is currently leading in the number of applications received as of day 9 in the ongoing recruitment exercise for the General Duty Constables in the Nigeria Police Force.
The PUNCH can confirm that 20,259 Kaduna State youths have already completed the online applications to lead the table, while Anambra State lags behind with only 541 applications so far.
Following Kaduna State at the top are Adamawa State with 18,933 applications; Borno State with 18,305; Bauchi State, 16,554; Katsina State, 16,232; and Kano State, 15,888.
However, next to Anambra State from the rear are – Ebonyi, 737; Abia, 966 and Imo 999. Bayelsa has 1020; Enugu, 1036; Lagos, 1259; Delta, 1338 and Edo 1526. 
Meanwhile, 242,391 males have already completed their applications, while only 35,405 females have registered their presence.  Related News   Bandits kill two in Kaduna fuel station attack  BREAKING: Bandits invade Kaduna mosque, kill Imam  Troops kill four suspected bandits, arrest others in Plateau, Kaduna   
The spokesperson for the Police Service Commission, Ikechukwu Ani, revealed the details in a correspondence obtained by our correspondent on Wednesday.
Meanwhile, Ani noted that the Chairman of the PSC, Dr Solomon Arase, has expressed concern about the continued disinterest of South East youths in pursuing a career in the Nigeria Police Force.      
“Arase noted that the South East, currently a hotbed for nonstate actors’ rebellion in the country, should have been at the forefront to join the Nigeria Police Force and bring indigenous solutions to the menace. He called on the leadership of the zone to find a way of convincing its youths to embrace the opportunity the ongoing recruitment has provided.
“The PSC Chairman said it will be difficult for anybody to listen to cries of marginalisation from leaders of the zone if they choose to remain indifferent to the government’s generous decision to offer employment to Nigerian youths in the Police Force. He said they should maximise the remaining five weeks open for their youths to get into the train,” Ani said.",https://cdn.punchng.com/wp-content/uploads/2022/09/27184052/Police-recruitment.jpg
news,"Reps vow to tackle flight delays, cancellation","Lawmakers in the Federal House of Representatives have resolved to address delays, cancellation of flights and ill-treatment often meted out to passengers by the Nigerian aviation industry. The motion...","<span class=""post-date"">25th October 2023</span>",https://punchng.com/reps-vow-to-tackle-flight-delays-cancellation-by-airlines/,  Dirisu Yakubu,"Lawmakers in the Federal House of Representatives have resolved to address delays, cancellation of flights and ill-treatment often meted out to passengers by the Nigerian aviation industry.
The motion moved by Kelechi Nwogu, a member representing Etche/Omuma Federal Constituency of Rivers State was subsequently adopted as lawmakers lamented poor service delivery by commercial airlines.
The lawmakers particularly want erring airlines to be sanctioned in line with relevant laws of the land.  Related News   Reps invite CBN gov for lifting forex ban on toothpicks, others  Reps approve sign language interpreters at plenary  Reps to probe use of dollar, other currencies as legal tender   
Following the adoption of the motion, Speaker of the House of Representatives, Abbas Tajudeen who presided over plenary on Wednesday, subsequently referred the motion to the Committees on Aviation and Legislative Compliance for further action.
Details later…",https://cdn.punchng.com/wp-content/uploads/2023/04/13194853/Airline.jpg
news,"FCT police arrest suspected robbers, carjacker, kidnappers' informant","Operatives of the Federal Capital Territory Police Command have arrested several criminal suspects in connection with armed robbery, carjacking, kidnapping, and one-chance incidents in the nation̵...","<span class=""post-date"">25th October 2023</span>",https://punchng.com/fct-police-arrest-suspected-robbers-carjacker-kidnappers-informant/,  Abiodun Sanusi,"Operatives of the Federal Capital Territory Police Command have arrested several criminal suspects in connection with armed robbery, carjacking, kidnapping, and one-chance incidents in the nation’s capital territory.
The PUNCH reports that on October 15, following a distress call about a robbery incident at the residence of one Dayo Balogun of Zone B Apo resettlement, police operatives from Apo division swiftly mobilised to the scene and apprehended one Ogbonna Ezechukwu of Area 1.
The FCT Commissioner of Police, Haruna Garba, during a parade on Wednesday, revealed that Ezechukwu is a notorious and wanted armed robber who has broken into many homes within Apo axis with members of his gang who are presently at large.
“A bag containing gold earrings, a laptop, four wristwatches, and other valuables was recovered from the suspect. He is assisting the Police in an effort to arrest his accomplices on the run. 
In a similar development, on October 15, police operatives from Mpape Division, while on routine patrol, arrested one Musa Ayelolo, a tipper driver and recovered a locally made pistol with two live cartridges from him. The suspect will be charged to court at the conclusion of the investigation,” CP Garba noted.
On October 17, an informant and logistic supplier to a gang of kidnappers, Muhammed Suleman, aka Bardi, was trailed and arrested by the Anti-Kidnapping Unit of the Command, following credible intelligence.
In the course of interrogation by the police, the suspect confessed to being an informant and food supplier to bandits terrorising Mpape, Bwari, and Byazhin axis and getting a usual ₦10,000 to ₦15,000 rewards for carrying out the tasks.      
The FCT CP noted that Suleman, who is now cooperating with the police to arrest other gang members currently at large, is also a close associate of wanted bandit leaders – Buba and Nasiru (surnames unknown).
Meanwhile, following a report by one Sunday Idemudo that his ash-coloured Toyota Corolla car Reg No: ENU 104 JZ 2023 was discovered to have been removed from where it was parked at Michael Opara Way, Wuse zone 5, at the close of work on October 16, police operatives from Utako Division swung into action, tracked and recovered the vehicle at Tollgate, Kaduna State with the help of Reconstructive Digital Analysis (Tracking).
Two suspects – Mohammed Yunusa and Ibrahim Haliru were arrested in possession of the car and are now cooperating with the police to apprehend other accomplices currently on the run.
Also, the new ‘Operation Sting and anti-one chance squad,’ created by the FCT Police Command in an effort to rid the city of one chance activities, carried out coordinated operations and impounded nine tinted vehicles suspected to be used for one chance activities.
The vehicles impounded include a red Golf with Reg. No. ABJ 897 DC; White Peugeot 206 with Reg. No. JJJ 638; Ford Vita Black with Reg. No RBC 567 MK; Nissan Almeira with Reg. No. AWK 260 IB; Toyota Corolla Gold in Colour with Reg. No. ABJ 590 AE; Mazda 323 Protege with Reg. No. RBC 258 XC; Toyota Corolla Gold in colour with Reg. No. LD 364; Toyota Corolla with Reg. No. YAB 561 EH Black in colour, and a vehicle with Reg. No. ABJ 597 TH.
In the same vein, on October 22, police operatives from CPS, while on routine patrol, intercepted a Gold coloured Toyota Corolla with hand-inscribed Reg. No. RSH 287 is suspected to be used for one-chance activities at phase 1 Federal Secretariat.  Related News   Army arrests 10 suspected kidnappers, cultists in Edo, Bayelsa  Kidnappers on the rampage  JUST IN: 27 women, four boys allegedly kidnapped in Southern Kaduna   
“On sighting police operatives, the suspect took to his heels leaving behind both the car and the victim whom he had attempted to rob. In the course of searching the vehicle, a locally made pistol, jack knife and a rope were recovered from the vehicle,” Garba revealed.        
On October 20, police operatives from the anti-violent crime section of the Command arrested one Aliru Shuaibu and recovered a Hyundai Accent Car with Reg. No AAA 903 CG, being the property of one Yusuf Ibrahim, is reported to have been stolen from No. 3 Gwarimpa Estate Abuja on 28/09/2023.
The CP further advised members of the public to rethink handing over their original particulars to their servants or drivers while noting that a preliminary investigation by the police revealed that the suspect, who was a driver to the owner of the vehicle, removed the vehicle from the house and was able to sell it because the original particulars of the vehicle were in his possession.
On the same day, police operatives at Utako Division received a distress call that a Toyota Prado SUV jeep with Reg. No. KWL 276 CL was snatched at gunpoint from the owner at Utako by armed hoodlums.
The police operatives, however, gave the hoodlums a hot chase, forcing them to abandon the vehicle and take to their heels. The vehicle was recovered within two hours and has since been released to the owner.
Earlier on October 18, one Abubakar Umar, who specialises in receiving stolen items from a nine-man armed robbery gang, was arrested via actionable intelligence.
Umar’s arrest led to the arrest of three other members of the notorious armed robbery syndicate, namely – Ahmed Umar, Gadafi Suraju, and Abubakar Sadiq Umar, who carried out a robbery operation behind Customary Court, Arab Road Kubwa, on 03/09/2023.
Several stolen items, such as laptops, iPads, mobile phones, and television sets, amongst others, were recovered from the suspects, who have all confessed to the robbery and will be charged in court after investigation.      
Meanwhile, on October 23, police operatives from the Maitama Division, while on routine patrol, arrested one Shamsu Umar, who is a member of a three-man gang, while trying to rob one Mrs Aisha Hakeem and her husband along the Maitama expressway. The hoodlums swooped on them while the couple stopped to fix their broken-down vehicle.
CP Garba noted that the modus operandi of this gang is to patrol the expressway with their motorcycle, and when any person is found standing alone waiting to board a vehicle, or while the vehicle has a mechanical fault, as in this instant case, they move in to dispossess their victims of their valuables.
“The motorcycle used in the operation has been impounded, and the suspect is in custody assisting the Police to apprehend his gang members.
In conclusion, therefore, I wish to reassure you that the FCT Police Command, under my leadership, will do all that is humanly possible to prevent crime and criminality, but when it does occur, to detect it. To all law-abiding residents of the FCT, I wish to solicit your support and cooperation in the spirit of community policing. Together, we shall defeat crime in the FCT,” Garba said.",https://cdn.punchng.com/wp-content/uploads/2023/09/30142722/FCT-Police-PRO-Josephine-Adeh.jpg
news,UN lauds Niger's investment in green economy,The United Nations has commended the Niger State Government for its investment in the green economy. The commendation came on Wednesday through UN Deputy Secretary-General Amina Mohammed who lauded Go...,"<span class=""post-date"">25th October 2023</span>",https://punchng.com/un-lauds-nigers-investment-in-green-economy/,  Dirisu Yakubu,"The United Nations has commended the Niger State Government for its investment in the green economy.
The commendation came on Wednesday through UN Deputy Secretary-General Amina Mohammed who lauded Governor Mohammed Bago for hosting the first-ever green economy summit in Nigeria.
The summit was held in Minna, the Niger State capital, on Tuesday.
This is just as she reminded political leaders across the country not to forget that advanced nations are gradually dumping oil-driven economies in preference for greener energy. 
The UN Deputy Secretary-General said Nigeria must set a shift and chart a new way forward that leaves no one behind by investing in the transition to clean energy from renewable sources.
Investment in the green economy, she stressed, would unlock latent potential and throw up employment opportunities in Niger State and the country at large.
“These challenges have no boundaries and have numerous cross-generational impacts. So as we examine opportunities to build green economic pathways, we need to keep in mind that most of the world’s natural resources are in Africa. And in Niger State, you are blessed with an abundance of mineral resources. Niger is uniquely positioned to be one of the first movers to engaging green growth and to become a leader by investing in energy.        Related News   Fuel supply may stall UN agency's aid operations in Gaza  DSS nabs suspected terrorist’s  wife, recovers 150 AK-47 rifles  Nomadic ministry to move herdsmen closer to govt  – Niger Commissioner   
“But these must include bold investments into the state’s strongest assets, which are its people. People are not just the key target of development; they are also the agents of its change.
“Dear friends, this would require leadership, commitment, and partnership to identify integrated solutions that respond to the complex issues. Allow me to focus on one area. Energy.
“The days of oil-driven energy growth are numbered. While our global progress on meeting the climate emergency is still too slow, the direction of travel is unambiguous. There is no long-term future for oil.
“Globally, we need to end our addiction to fossil fuels while building baseload and expanding access to reliable, clean, and affordable energy for everyone. In Nigeria, we face a situation where 36 per cent of households do not have access to the electricity grid and where we remain almost entirely dependent on fossil fuels for electricity generation.
“Nigeria must set a shift and chart a new way forward that leaves no one behind by investing in the transition to clean energy from renewable sources. Niger has the potential to be the trailblazer on this path. Investing in the green economy would unleash the next great wave of human and sustainable development, particularly for our youths,” she said.
According to her, a lot can be achieved in the attainment of the Sustainable Development Goals if sufficient investment is made in protecting the environment from unnecessary exploitation.
“Let’s continue this journey together to ensure that people, especially women and planets thrive, building a just, sustainable, and resilient world that leaves no one behind. Let us take that journey together,” she added.",https://cdn.punchng.com/wp-content/uploads/2023/10/05182234/Mohammed-Bago.jpeg
news,"Tinubu seeks Senate's confirmation of ICPC chairman, others","President Bola Tinubu on Wednesday urged the Senate to consider and confirm the nomination of Musa Aliyu, a lawyer and Attorney-General of Jigawa State, for appointment as the chairman of the Independ...","<span class=""post-date"">25th October 2023</span>",https://punchng.com/tinubu-seeks-senates-confirmation-of-icpc-chairman-others/,  Tope Omogbolagun,"President Bola Tinubu on Wednesday urged the Senate to consider and confirm the nomination of Musa Aliyu, a lawyer and Attorney-General of Jigawa State, for appointment as the chairman of the Independent Corrupt Practices and Other Related Offences Commission.
The President also asked the Red Chamber to confirm Saka Bolaji Suleiman and Prof Gaji Dantata as members of the Federal Judicial Service Commission.
The requests of the President were contained in two separate letters addressed to Senate President Godswill Akpabio and read at plenary by Deputy Senate President Jibrin Barau, who presided.
Tinubu said, “In compliance with the provision of section 3, subsection 6 of the Corrupt Practices and Other Related Offenses Commission, Establishment Act 2000. 
“I am pleased to present for confirmation, by the Senate, the appointment of Mr. Musa Aliyu as Chairman of the Independent Corrupt Practices and Other Related Offenses Commission, ICPC.”  Related News   JUST IN: Tinubu approves N18bn assurance policy for fallen heroes' families  Tinubu, prosecute Bawa or release him  Senate demands probe of Benue bank robberies   
The appointment of Aliyu, according to a statement by the Special Adviser, Media and Publicity to the President, Ajuri Ngelale, last week, was sequel to the request of the outgoing chairman of the commission, Bolaji Owasanoye, whose statutory tenure still remains over three months, “to proceed on pre-end of tenure leave beginning on 4 November 2023”.
Mr Owasanoye’s tenure is statutorily due to expire on 3 February 2024.      
In a similar vein, the President said: “In accordance with the provision of section 154 of sections 1 and 3, paragraph 12 of part 1, of the third schedule of the Constitution of the Federal Republic of Nigeria, 1999, as amended, I am pleased to present for confirmation by the Senate the appointments of the under-listed two persons as members of the Federal Judicial Service Commission.
“Commissioner, number one, Saka Bolaji Suleiman, and number two, Professor Gaji Dantata.”
Barau referred the two executive requests to the Committee of the Whole for consideration.",https://cdn.punchng.com/wp-content/uploads/2023/08/24002516/Tinubu.jpg
news,"I inherited assets, liabilities like you, Ortom replies Benue gov","Former Benue State Governor, Samuel Ortom, on Wednesday, told his successor, Rev Fr Hyacinth Alia, that every succeeding government inherited assets and liabilities of previous administrations.  Orto...","<span class=""post-date"">25th October 2023</span>",https://punchng.com/i-inherited-assets-liabilities-like-you-ortom-replies-benue-gov/,  John Charles,"Former Benue State Governor, Samuel Ortom, on Wednesday, told his successor, Rev Fr Hyacinth Alia, that every succeeding government inherited assets and liabilities of previous administrations. 
Ortom, who spoke in a statement issued by his media aide, Terver Akase, advised  Alia to stop hallucinating and to focus on how to use huge funds accrued to his administration from the federation account to address development challenges. 
The former governor was reacting to the revelation made by the state Commissioner of Justice, Fidelis Mnyim, that the government of Alia inherited over N14 billion consent judgment incurred by the immediate past government. 
Mnyim explained that the judgment debts fell into garnishing, which all bordered on several unpaid contracts and 34 months of unpaid pension.  
The commissioner had said, “These group of people became so aggressive and filed cases against the State government. 
“When we came in, we had over N14 billion consent judgment. This consent judgment cannot be appealed because the government agreed to pay them, and the government is a continuum.   Related News   Tribunal affirms Alia’s victory as Benue gov, PDP plans appeal  Access Pensions surpasses N1tn assets under management  I am ready to defend my administration - Ortom   
The immediate past governor said the state government had an agreement with the retirees and was paying their arrears of pensions and gratuities as funds permitted.       
The statement read in parts, “This was even as the economic situation in the country was severe with federal allocations to states at their lowest since 1999, and Nigeria had plunged into recession at two different times. 
“If the present government is complaining about numerous garnishee orders, there is the possibility that it has defaulted on the payment arrangement that the Ortom administration made with the pensioners and the retirees have returned to the courts. 
“Interestingly, the current Commissioner for Justice, Fidelis Mnyim, served as counsel to some persons who took the Benue State Government to court. 
“He ought to have told the media if the case he handled was among the garnishee orders resulting in the N14 billion that he claimed.” 
Ortom, however, advised his successor that “When a new government assumes power, it inherits both assets and liabilities,” adding that he, also like his predecessors, inherited similar financial obligations.",https://cdn.punchng.com/wp-content/uploads/2023/01/27192403/Gov-Ortom-Rev.-Fr.-Hyacinth-Alia.jpg
news,"PICTORIAL: EFCC operatives allegedly held hostage by staff, students of Oyo college","Seven operatives of the Economic and Financial Crime Commission, Ibadan Zonal Command, were allegedly attacked and held hostage by staff and students of the Federal College of Forestry, Idi-shin Estat...","<span class=""post-date"">25th October 2023</span>",https://punchng.com/pictorial-efcc-operatives-allegedly-held-hostage-by-staff-students-of-oyo-college/,  Tope Alabi,"Seven operatives of the Economic and Financial Crime Commission, Ibadan Zonal Command, were allegedly attacked and held hostage by staff and students of the Federal College of Forestry, Idi-shin Estate, Ibadan, Oyo State.
In a statement released Wednesday on the official Facebook page of the Commission, the operatives were on a routine verification exercise on Tuesday, October 24, 2023, when the attack happened.
According to the EFCC, the operatives were on the premises to affirm the “address and identity of one Oluwakemi, who stood as a surety for Alakinde Khalid Kolawole, a suspected internet fraudster in the custody of the Commission.”
The statement titled ‘Unprovoked Attack on EFCC Operatives in Ibadan: Call for Caution’, read, “Seven operatives of the Ibadan Zonal Command of the Economic and Financial Crimes Commission, EFCC, on routine verification exercise of a surety: Azeez Kazeem Oluwakemi were, on Tuesday, October 24, 2023, attacked and held hostage by staff and students of the Federal College of Forestry, Idi-shin Estate, Ibadan, Oyo State. 

“The operatives were in the college to authenticate the address and identity of Oluwakemi, who stood as a surety for Alakinde Khalid Kolawole, a suspected internet fraudster in the custody of the Commission. A surety verification exercise is a standard law enforcement practice for the perfection of the bail conditions of a suspect.
“This fact occasioned the mission of EFCC’s operatives at the college.      
“For some inscrutable reasons, students and staff of the college went on a frenzy of attacks against operatives of the EFCC, who were on an authorized assignment.  Related News   Court jails man for land fraud in Maiduguri  Tinubu, prosecute Bawa or release him  EFCC chair orders staff to declare assets   
“This is in spite of the fact that the college community was duly informed about the mission of the EFCC’s team. The college’s Student Union President, in concert with his colleagues and some staff of the institution, reportedly ignited a violent confrontation with operatives of the EFCC.

“Two main entrance gates to the college were barricaded with a car believed to be owned by one of the lecturers of the college. The bus that conveyed operatives to the college was vandalized, even as students and staff of the college threw stones and dangerous objects at the vehicle.
“A rescue team that came successfully released the seven operatives held hostage by the riotous crowd.
It is noteworthy that operatives of the Commission exercised restraint in the face of the unprovoked attack and refrained from applying any force against the belligerent attackers.

“No student or staff of the college was shot, as armed operatives merely fired into the air to disperse the unruly crowd.        
“The Commission wishes to assure the public that it will continue to perform its duties in line with its mandate, and unprovoked attacks against personnel of the Commission will no longer be tolerated.”",https://cdn.punchng.com/wp-content/uploads/2023/10/25154015/396150005_754543050042234_8521071805183159981_n.jpg
news,"Mohbad started vomiting after he was injected, singer's DJ tells court","Late singer, Ilerioluwa Aloba, known as MohBad’s Disc Jockey Ajisegiri Ayobami, who was with him before he died, told the coroner inquest in Ikorodu looking into Mohbad’s death on Wednesda...","<span class=""post-date"">25th October 2023</span>",https://punchng.com/mohbad-started-vomiting-after-he-was-injected-singers-dj-tells-court/,  Onozure Dania,"Late singer, Ilerioluwa Aloba, known as MohBad’s Disc Jockey Ajisegiri Ayobami, who was with him before he died, told the coroner inquest in Ikorodu looking into Mohbad’s death on Wednesday that the deceased started vomiting after he was administered an injection by a nurse.
He said he vomited the noodles the late singer’s brother, Adura Aloba, prepared for him.
According to the witness, the previous day, which was on Sunday, they went for a show at Ikorodu, and on their way back, their Prado Jeep was blocked, and he saw Mohbad come down from his Jeep to fight his friend, Primeboy and then he got injured.
Ayobami also told the coroner court that the wound was a small cut on his hand but that by the time they got home at midnight, the hand was already swollen. 
He stated that they tried to call Mohbad’s personal nurse, but she said she was not around, so one of their team members called Spending said he had a nurse, and they called the nurse, who came to administer an injection to him.
Ayobami said Mohbad was very fine before the nurse came but slept before he was injected.  Related News   Comedian CuteAbiola refutes gifting car to MohBad's father  Why Mohbad son’s DNA test must be done in my presence - Father  Mohbad: Calls for DNA on son insensitive, says Yetunde Bakare   
He stated that there was water on the floor in Mohbad’s room, so he went to get a mop to clean the floor when his wife shouted his name from upstairs that he should come back.      
The witness said when he got there, he saw that Mohbad had collapsed on the floor and vomited the Indomie Noodles that he had eaten, and goosebumps were on his body.
He said, “The nurse said we should go and get him drugs; while we were at the pharmacy, I called the house to know how he was feeling, and they said I should come back.
“When I got back, they were already outside trying to put him in a neighbour’s car to get him to the hospital, but the way I saw him, he was lifeless, his eyes were closed, and his hands were falling.
“While we were going to the hospital, there was traffic, so I came down from the other vehicle and ran to the hospital; I asked them if they had an ambulance, and they said no. Before I could get back to them, I saw them bringing Mohbad on a bike, and when we got to the hospital he was confirmed dead,” the witness said.",https://cdn.punchng.com/wp-content/uploads/2023/09/30004526/Mohbad-2-e1696031126827.jpg
news,"Meet new NIWA CEO, Munirudeen Oyebamiji","President Bola Tinubu on Wednesday appointed Munirudeen Oyebamiji as the Managing Director/Chief Executive Officer, National Inland Waterways Authority. Alongside his appointment, Tinubu also appointe...","<span class=""post-date"">25th October 2023</span>",https://punchng.com/meet-new-niwa-ceo-munirudeen-oyebamiji/,  Ajisafe Olayiwola,"President Bola Tinubu on Wednesday appointed Munirudeen Oyebamiji as the Managing Director/Chief Executive Officer, National Inland Waterways Authority.
Alongside his appointment, Tinubu also appointed Mr. Akutah Ukeyima as the Executive Secretary/CEO of the Nigerian Shippers’ Council. ⁣
⁣
Their appointments were in line with the recommendations of the Minister of Marine and Blue Economy, Adegboyega Oyetola.⁣
In this piece, PUNCH Online highlights 13 things to know about Munirudeen Oyebamiji:
1. Oyebamiji was born on the November 17, 1965. 
2. He is a native of Ikire in Irewole Local Government Area, Osun State.
3. Oyebamiji had his early education at A.D.C Primary School, Oke-Ada, Ikire, Osun State, between 1971 to 1977.
4. Between 1978 to 1982, the new NIWA CEO obtained his Senior Secondary Certificate at Ayedaade Grammar School, Ikire, Osun State.      
5. After his secondary school education, Oyebamiji obtained both the Ordinary National Diploma and Higher National Diploma in Banking and Finance from The Polytechnic, Ibadan, Oyo State., between 1985 and 1988, respectively.  Related News   Why we clear Nigeria’s waterways regularly – NIWA MD  One dead, 16 rescued as boat capsizes in Lagos  Military, civil authorities clash over proposed hydrography agency   
6. After completing his tertiary education, Oyebamiji pursued a Master’s degree in Public Administration at the Lagos State University from where he graduated in 1997.
7. In 2004, he bagged another Master’s degree in Business Administration from the University of Ado-Ekiti, Ekiti State.
8. He has over 28 years. of working experience in the Banking and Finance industry, having worked at Wema Bank Plc, Trans International Bank Plc, Spring Bank Plc and Enterprise Bank Ltd.
9. Oyebamiji is a fellow of the Chartered Institute of Economists of Nigeria, an Associate of the Nigeria Institute of Management, a Chartered Banker and a member of the Nigeria Economic Summit Group.
10. He was the Managing Director, Osun State Investment Company Limited, Osun- State, from 2012 to 2017, under the administration of former state governor, Rauf Aregbesola,
11. Oyebamiji served as Commissioner for Finance, Osun State, for eight years.        
12. He was conferred with the chieftaincy title of the Asiwaju of Ikire land.
13. The former banker is married and blessed with children.",https://cdn.punchng.com/wp-content/uploads/2023/10/25163749/Oyebamiji.png
